ratio_bin_start,normalized_frequency
,0.039381414332247712
0.0,0.0005332103376365679
0.05,0.0001894114643724406
0.1,0.00023024821565667715
0.15000000000000002,0.00038589951125461632
0.2,0.00072410258034971925
0.25,0.0013907249340837239
0.30000000000000004,0.0025553028761441643
0.35000000000000003,0.0045729649100824171
0.4,0.0078283466604468447
0.45,0.012668618679546339
0.5,0.019541908660303732
0.55,0.028520023507661779
0.60000000000000009,0.039735799489015532
0.65,0.053046884709443617
0.70000000000000007,0.067235091530073884
0.75,0.0808536502184786
0.8,0.0914838424477005
0.85000000000000009,0.096186283776585987
0.9,0.092570144198884929
0.95000000000000007,0.0783901240515844
1.0,0.065669875304326317
1.05,0.05408377854629845
1.1,0.041886814386787277
1.1500000000000001,0.031101345492972415
1.2000000000000002,0.022612191146337179
1.25,0.016092738178035068
1.3,0.011339891233301456
1.35,0.0085384557868897412
1.4000000000000001,0.006373745168273018
1.4500000000000002,0.0046963447022150915
1.5,0.0035411798570901417
1.55,0.0026910533784094879
1.6,0.0020916122225778785
1.6500000000000001,0.0016646748423416189
1.7000000000000002,0.0013337691908749721
1.75,0.0010738837192406331
1.8,0.00087729708525188528
1.85,0.00072262180200900847
1.9000000000000001,0.00059375662326667034
1.9500000000000002,0.00049331805083329067
2.0,0.00042424595222684524
2.0500000000000003,0.00036865662631518085
2.1,0.00031480440522131437
2.15,0.00027566729565437831
2.2,0.00024021931561536502
2.25,0.00021267604978129131
2.3000000000000003,0.00018777294666121465
2.35,0.00016263717796962817
2.4000000000000004,0.00014275807380045849
2.45,0.00012392990818734588
2.5,0.00011022235688958081
2.5500000000000003,9.8697524131318879e-05
2.6,9.1705726533235609e-05
2.6500000000000004,8.3229207110178629e-05
2.7,7.55709606716689e-05
2.75,6.8445084608647765e-05
2.8000000000000003,6.17313026510974e-05
2.85,5.692025185038584e-05
2.9000000000000004,5.1669502554363341e-05
2.95,4.9403970845339736e-05
3.0,4.5223877526688708e-05
3.0500000000000003,4.3129887383100316e-05
3.1,4.0174245928073e-05
3.1500000000000004,3.8726987203596656e-05
3.2,3.4893920500078917e-05
3.25,3.4410843677876324e-05
3.3000000000000003,3.2517971231694726e-05
3.35,3.0672420596667663e-05
3.4000000000000004,2.9461770927964016e-05
3.45,2.7436791758975992e-05
3.5,2.6214311637483709e-05
3.5500000000000003,2.5157457855032316e-05
3.6,2.3209376629170421e-05
3.6500000000000004,2.2501521203983761e-05
3.7,2.1245521466257013e-05
3.75,1.8940554914604628e-05
3.8000000000000003,1.8875487424267135e-05
3.85,1.7769340088529762e-05
3.9000000000000004,1.6408838017836737e-05
3.95,1.5436769147037228e-05
4.0,1.5519582316557673e-05
4.05,1.47506028852964e-05
4.1000000000000005,1.4054577912898375e-05
4.15,1.4052606170766934e-05
4.2,1.3599105480535927e-05
4.25,1.2703934552862545e-05
4.3,1.2305642642311834e-05
4.3500000000000005,1.1808763625189164e-05
4.4,1.1656939481068349e-05
4.45,1.0949084055881689e-05
4.5,1.0367420127107134e-05
4.55,1.0623746604194226e-05
4.6000000000000005,1.0191935077409049e-05
4.65,9.9119476947446863e-06
4.7,9.4978818471424625e-06
4.75,9.3401424766273288e-06
4.8000000000000007,8.902415723447834e-06
4.8500000000000005,8.4568020017425828e-06
4.9,8.0723122861119444e-06
4.95,8.3345539895933538e-06
5.0,8.2182212038384426e-06
5.0500000000000007,7.7430313501616044e-06
5.1000000000000005,7.5123375207832215e-06
5.15,7.5064222943889046e-06
5.2,7.6740203755612335e-06
5.25,7.18502832696432e-06
5.3000000000000007,7.4236091248684595e-06
5.3500000000000005,6.8537756488825407e-06
5.4,6.9878541138204034e-06
5.45,6.9779954031632083e-06
5.5,6.4377380591488765e-06
5.5500000000000007,6.5678730398238611e-06
5.6000000000000005,6.3214052733939653e-06
5.65,6.09859841254134e-06
5.7,6.2661964937136694e-06
5.75,6.1242310602500494e-06
5.8000000000000007,5.3414494340687e-06
5.8500000000000005,5.9369155577633286e-06
5.9,5.4577822198236113e-06
5.95,5.6411542380474539e-06
6.0,5.6727021121504804e-06
6.0500000000000007,5.3493364025944573e-06
6.1000000000000005,5.53073667868686e-06
6.15,5.3138450442285517e-06
6.2,5.2053992269993978e-06
6.25,4.7735877002142208e-06
6.3000000000000007,4.807107316448686e-06
6.3500000000000005,4.8741465489176182e-06
6.4,4.9431575235179892e-06
6.45,4.8780900331804965e-06
6.5,4.8051355743172473e-06
6.5500000000000007,4.87020306465474e-06
6.6000000000000005,4.8307682220259562e-06
6.65,4.8504856433403481e-06
6.7,4.7795029266085377e-06
6.75,4.5783852292017435e-06
6.8000000000000007,4.5823287134646217e-06
6.8500000000000005,4.2983978465373817e-06
6.9,4.4088154058979751e-06
6.95,4.0460148537131682e-06
7.0,4.3693805632691913e-06
7.0500000000000007,4.2471325511199631e-06
7.1000000000000005,4.0361561430559722e-06
7.15,4.2569912617771591e-06
7.2,3.821236250729103e-06
7.25,3.8527841248321305e-06
7.3000000000000007,3.7601122446544894e-06
7.3500000000000005,3.7384230812086584e-06
7.4,3.5708250000363295e-06
7.45,3.6378642325052609e-06
7.5,3.4268878244412703e-06
7.5500000000000007,3.3144985229492378e-06
7.6000000000000005,3.3499898813151426e-06
7.65,3.4387182772299054e-06
7.7,3.4564639564128578e-06
7.75,3.1646461209598613e-06
7.8000000000000007,3.208024447851523e-06
7.8500000000000005,3.2178831585087185e-06
7.9,3.247459290480306e-06
7.95,3.0857764357022944e-06
8.0,3.0818329514394162e-06
8.05,2.9457827443701139e-06
8.1,3.0916916620966122e-06
8.15,2.9162066123985264e-06
8.2000000000000011,2.9733871342102623e-06
8.25,3.006906750444728e-06
8.3,2.9871893291303365e-06
8.35,2.9280370651871611e-06
8.4,2.9536697128958703e-06
8.4500000000000011,3.0009915240504102e-06
8.5,2.8412804114038378e-06
8.55,2.9457827443701139e-06
8.6,2.5317168967678889e-06
8.65,2.7150889149917315e-06
8.7000000000000011,2.6776258144943871e-06
8.75,2.3838362369099515e-06
8.8,2.283277388206554e-06
8.85,2.3345426836239725e-06
8.9,2.2773621618122367e-06
8.9500000000000011,2.2556729983664056e-06
9.0,2.3187687465724592e-06
9.05,2.2753904196807976e-06
9.1,2.2398990613148924e-06
9.15,2.0545553009596107e-06
9.2000000000000011,2.0269509111194623e-06
9.25,1.8337201822384242e-06
9.3,1.8080875345297151e-06
9.35,1.699641717300561e-06
9.4,1.664150358934656e-06
9.4500000000000011,1.5596480259683803e-06
9.5,1.6326024848316294e-06
9.55,1.5004957620252051e-06
9.6000000000000014,1.463032661527861e-06
9.65,1.3881064605331728e-06
9.7000000000000011,1.5517610574426236e-06
9.75,1.2165648950979652e-06
9.8,1.1810735367320604e-06
9.8500000000000014,1.1436104362347161e-06
9.9,1.1475539204975945e-06
9.9500000000000011,1.1712148260748645e-06
10.0,1.1968474737835737e-06
10.05,1.1475539204975945e-06
10.100000000000001,1.116006046394568e-06
10.15,9.5629493374799552e-07
10.200000000000001,9.365775124336038e-07
10.25,1.0036167449025354e-06
10.3,1.1948757316521344e-06
10.350000000000001,9.1686009111921208e-07
10.4,9.6812538653663038e-07
10.450000000000001,8.9911441193625958e-07
10.5,8.0447078962717962e-07
10.55,8.9714266980482047e-07
10.600000000000001,8.4784911651884128e-07
10.65,8.9122744341050293e-07
10.700000000000001,8.8728395914762461e-07
10.75,8.0249904749574051e-07
10.8,7.8672511044422722e-07
10.850000000000001,8.9911441193625958e-07
10.9,8.9122744341050293e-07
10.950000000000001,7.7686639978703136e-07
11.0,7.7489465765559215e-07
11.05,7.4334678355256557e-07
11.100000000000001,8.7151002209611132e-07
11.15,8.1432950028437548e-07
11.200000000000001,9.3460577030216459e-07
11.25,7.5517723634120054e-07
11.3,7.315163307639305e-07
11.350000000000001,6.54618387637803e-07
11.4,8.8728395914762461e-07
11.450000000000001,6.9996845666090391e-07
11.5,7.2362936223817385e-07
11.55,7.7489465765559215e-07
11.600000000000001,6.4870316124348561e-07
11.65,6.3687270845485054e-07
11.700000000000001,7.4531852568400468e-07
11.75,6.9996845666090391e-07
11.8,5.8955089730031056e-07
11.850000000000001,6.3292922419197222e-07
11.9,6.8222277747795141e-07
11.950000000000001,6.0926831861470228e-07
12.0,5.8166392877455392e-07
12.05,5.5997476532872309e-07
12.100000000000001,6.8222277747795141e-07
12.15,5.9152263943174978e-07
12.200000000000001,5.2053992269993976e-07
12.25,6.0729657648326307e-07
12.3,4.51528948099569e-07
12.350000000000001,5.7377696024879727e-07
12.4,5.8560741303743224e-07
12.450000000000001,5.4222908614577058e-07
12.5,5.2053992269993976e-07
12.55,5.3434211762001394e-07
12.600000000000001,4.9490727499123061e-07
12.65,5.0673772777986557e-07
12.700000000000001,5.1659643843706143e-07
12.75,4.8899204859691317e-07
12.8,5.3039863335713562e-07
12.850000000000001,4.2983978465373818e-07
12.9,4.3772675317949482e-07
12.950000000000001,5.1265295417418311e-07
13.0,5.3039863335713562e-07
13.05,4.6138765875676481e-07
13.100000000000001,4.2392455825942064e-07
13.15,4.1998107399654232e-07
13.200000000000001,4.5350069023100816e-07
13.25,4.4758546383669063e-07
13.3,4.8307682220259564e-07
13.350000000000001,3.4308313087041487e-07
13.4,3.5294184152761067e-07
13.450000000000001,4.3181152678517734e-07
13.5,4.1406584760222483e-07
13.55,3.9040494202495484e-07
13.600000000000001,3.92376684156394e-07
13.65,3.7068752071056318e-07
13.700000000000001,3.7660274710488066e-07
13.75,4.5350069023100816e-07
13.8,3.746310049734415e-07
13.850000000000001,3.5885706792192821e-07
13.9,3.2139396742458404e-07
13.950000000000001,4.1012236333934651e-07
14.0,3.9632016841927233e-07
14.05,3.3519616234465822e-07
14.100000000000001,4.1998107399654232e-07
14.15,3.8448971563063736e-07
14.200000000000001,3.2533745168746236e-07
14.25,3.746310049734415e-07
14.3,3.6082881005336737e-07
14.350000000000001,4.0617887907646819e-07
14.4,3.2730919381890152e-07
14.450000000000001,4.337832689166165e-07
14.5,3.92376684156394e-07
14.55,3.4308313087041487e-07
14.600000000000001,3.3913964660753654e-07
14.65,3.3519616234465822e-07
14.700000000000001,3.5491358365904983e-07
14.75,3.2533745168746236e-07
14.8,3.2533745168746236e-07
14.850000000000001,3.411113887389757e-07
14.9,4.0815062120790735e-07
14.950000000000001,3.825179734991982e-07
15.0,3.0167654611019237e-07
15.05,3.1350699889882739e-07
15.100000000000001,2.8393086692723987e-07
15.15,2.9181783545299657e-07
15.200000000000001,2.3660905577269989e-07
15.25,2.6224170348140904e-07
15.3,2.8195912479580071e-07
15.350000000000001,2.8393086692723987e-07
15.4,2.7801564053292238e-07
15.450000000000001,2.5238299282421323e-07
15.5,3.0759177250450986e-07
15.55,3.1350699889882739e-07
15.600000000000001,2.9970480397875321e-07
15.65,2.8590260905867903e-07
15.700000000000001,2.5829821921853072e-07
15.75,2.8787435119011819e-07
15.8,2.3266557150982157e-07
15.850000000000001,2.5435473495565239e-07
15.9,2.3463731364126073e-07
15.950000000000001,2.3858079790413905e-07
16.0,2.3463731364126073e-07
16.05,2.6026996134996988e-07
16.1,2.6026996134996988e-07
16.150000000000002,2.2872208724694324e-07
16.2,2.5632647708709156e-07
16.25,2.7604389840148322e-07
16.3,1.912589867495991e-07
16.35,2.0703292380111242e-07
16.400000000000002,2.4843950856133491e-07
16.45,2.8590260905867903e-07
16.5,2.9970480397875321e-07
16.55,2.6618518774428741e-07
16.6,2.642134456128482e-07
16.650000000000002,2.1491989232686909e-07
16.7,2.3660905577269989e-07
16.75,2.0111769740679491e-07
16.8,2.0900466593255158e-07
16.85,2.2872208724694324e-07
16.900000000000002,2.5238299282421323e-07
16.95,2.4646776642989575e-07
17.0,1.794285339609641e-07
17.05,2.0111769740679491e-07
17.1,2.7604389840148322e-07
17.150000000000002,1.9520247101247742e-07
17.2,2.6224170348140904e-07
17.25,2.3660905577269989e-07
17.3,2.1689163445830825e-07
17.35,2.2280686085262573e-07
17.400000000000002,2.1491989232686909e-07
17.45,2.129481501954299e-07
17.5,2.5435473495565239e-07
17.55,2.2280686085262573e-07
17.6,1.8534376035528159e-07
17.650000000000002,2.2872208724694324e-07
17.7,1.794285339609641e-07
17.75,1.4196543346361993e-07
17.8,1.7154156543520743e-07
17.85,1.9323072888103826e-07
17.900000000000002,1.8928724461815991e-07
17.95,2.4646776642989575e-07
18.0,2.721004141386049e-07
18.05,1.9323072888103826e-07
18.1,1.5971111264657244e-07
18.150000000000002,1.9914595527535574e-07
18.2,1.7745679182952492e-07
18.25,2.4449602429845659e-07
18.3,2.0703292380111242e-07
18.35,1.7745679182952492e-07
18.400000000000002,1.5576762838369409e-07
18.45,1.616828547780116e-07
18.5,1.9520247101247742e-07
18.55,1.9520247101247742e-07
18.6,1.8534376035528159e-07
18.650000000000002,1.3802194920074161e-07
18.7,1.4985240198937661e-07
18.75,1.4590891772649828e-07
18.8,1.8337201822384243e-07
18.85,1.4196543346361993e-07
18.900000000000002,1.7745679182952492e-07
18.95,1.4788065985793744e-07
19.0,1.9717421314391658e-07
19.05,1.5182414412081577e-07
19.1,1.3802194920074161e-07
19.150000000000002,1.5576762838369409e-07
19.200000000000003,1.6759808117232911e-07
19.25,1.4590891772649828e-07
19.3,1.6562633904088992e-07
19.35,1.6562633904088992e-07
19.400000000000002,1.6365459690945076e-07
19.450000000000003,1.3999369133218077e-07
19.5,2.0703292380111242e-07
19.55,1.8140027609240327e-07
19.6,1.321067228064241e-07
19.650000000000002,1.4196543346361993e-07
19.700000000000003,1.6956982330376827e-07
19.75,1.2224801214922829e-07
19.8,1.4590891772649828e-07
19.85,1.7154156543520743e-07
19.900000000000002,1.4985240198937661e-07
19.950000000000003,2.0308943953823409e-07
20.0,1.616828547780116e-07
20.05,1.6956982330376827e-07
20.1,1.8337201822384243e-07
20.150000000000002,1.7745679182952492e-07
20.200000000000003,1.9520247101247742e-07
20.25,1.5971111264657244e-07
20.3,1.1436104362347162e-07
20.35,1.1041755936059329e-07
20.400000000000002,1.4393717559505909e-07
20.450000000000003,1.1238930149203245e-07
20.5,2.0111769740679491e-07
20.55,1.1041755936059329e-07
20.6,1.6562633904088992e-07
20.650000000000002,2.1491989232686909e-07
20.700000000000003,1.2027627001778911e-07
20.75,1.2816323854354578e-07
20.8,1.4590891772649828e-07
20.85,1.3605020706930245e-07
20.900000000000002,1.616828547780116e-07
20.950000000000003,1.2619149641210662e-07
21.0,1.321067228064241e-07
21.05,1.2421975428066746e-07
21.1,1.3802194920074161e-07
21.150000000000002,1.6365459690945076e-07
21.200000000000003,1.1238930149203245e-07
21.25,1.0844581722915412e-07
21.3,1.5379588625225493e-07
21.35,1.0844581722915412e-07
21.400000000000002,1.321067228064241e-07
21.450000000000003,1.5182414412081577e-07
21.5,1.321067228064241e-07
21.55,9.26718801776408e-08
21.6,1.5576762838369409e-07
21.650000000000002,1.5971111264657244e-07
21.700000000000003,1.4393717559505909e-07
21.75,8.67566537833233e-08
21.8,1.1238930149203245e-07
21.85,9.0700138046201633e-08
21.900000000000002,1.0450233296627579e-07
21.950000000000003,1.5971111264657244e-07
22.0,1.1041755936059329e-07
22.05,1.2027627001778911e-07
22.1,1.2816323854354578e-07
22.150000000000002,1.0055884870339745e-07
22.200000000000003,1.0253059083483663e-07
22.25,1.321067228064241e-07
22.3,1.0055884870339745e-07
22.35,1.0253059083483663e-07
22.400000000000002,1.1633278575491078e-07
22.450000000000003,9.661536444051913e-08
22.5,1.0844581722915412e-07
22.55,1.0253059083483663e-07
22.6,1.0647407509771495e-07
22.650000000000002,1.3013498067498494e-07
22.700000000000003,1.1238930149203245e-07
22.75,1.0647407509771495e-07
22.8,1.3999369133218077e-07
22.85,1.1041755936059329e-07
22.900000000000002,8.67566537833233e-08
22.950000000000003,1.0253059083483663e-07
23.0,8.8728395914762458e-08
23.05,1.1830452788634994e-07
23.1,1.1830452788634994e-07
23.150000000000002,9.8587106571958292e-08
23.200000000000003,1.2224801214922829e-07
23.25,9.26718801776408e-08
23.3,1.2421975428066746e-07
23.35,1.5773937051513328e-07
23.400000000000002,9.8587106571958292e-08
23.450000000000003,1.321067228064241e-07
23.5,9.26718801776408e-08
23.55,1.0450233296627579e-07
23.6,7.49262009946883e-08
23.650000000000002,1.1436104362347162e-07
23.700000000000003,8.67566537833233e-08
23.75,1.0844581722915412e-07
23.8,1.3407846493786329e-07
23.85,1.2224801214922829e-07
23.900000000000002,9.661536444051913e-08
23.950000000000003,9.4643622309079956e-08
24.0,7.0982716731809967e-08
24.05,1.2619149641210662e-07
24.1,1.1436104362347162e-07
24.150000000000002,1.1633278575491078e-07
24.200000000000003,9.26718801776408e-08
24.25,5.3237037548857475e-08
24.3,1.0055884870339745e-07
24.35,1.0647407509771495e-07
24.400000000000002,7.8869685257566639e-08
24.450000000000003,7.8869685257566639e-08
24.5,9.4643622309079956e-08
24.55,8.4784911651884136e-08
24.6,6.506749033749247e-08
24.650000000000002,8.67566537833233e-08
24.700000000000003,8.8728395914762458e-08
24.75,9.0700138046201633e-08
24.8,1.1436104362347162e-07
24.85,1.0450233296627579e-07
24.900000000000002,9.8587106571958292e-08
24.950000000000003,8.2813169520444961e-08
25.0,8.8728395914762458e-08
25.05,6.3095748206053308e-08
25.1,1.0844581722915412e-07
25.150000000000002,1.1238930149203245e-07
25.200000000000003,7.49262009946883e-08
25.25,9.661536444051913e-08
25.3,1.0450233296627579e-07
25.35,8.08414273890058e-08
25.400000000000002,1.0055884870339745e-07
25.450000000000003,5.1265295417418314e-08
25.5,8.4784911651884136e-08
25.55,8.08414273890058e-08
25.6,6.90109746003708e-08
25.650000000000002,7.2954458863249141e-08
25.700000000000003,5.9152263943174972e-08
25.75,1.0055884870339745e-07
25.8,7.6897943126127464e-08
25.85,4.5350069023100816e-08
25.900000000000002,6.90109746003708e-08
25.950000000000003,6.7039232468931644e-08
26.0,7.0982716731809967e-08
26.05,7.0982716731809967e-08
26.1,7.0982716731809967e-08
26.150000000000002,9.8587106571958292e-08
26.200000000000003,8.67566537833233e-08
26.25,9.0700138046201633e-08
26.3,4.9293553285979146e-08
26.35,8.4784911651884136e-08
26.400000000000002,4.9293553285979146e-08
26.450000000000003,8.08414273890058e-08
26.5,5.3237037548857475e-08
26.55,9.661536444051913e-08
26.6,7.8869685257566639e-08
26.650000000000002,7.49262009946883e-08
26.700000000000003,4.9293553285979146e-08
26.75,5.9152263943174972e-08
26.8,8.4784911651884136e-08
26.85,8.67566537833233e-08
26.900000000000002,7.49262009946883e-08
26.950000000000003,3.9434842628783319e-08
27.0,8.2813169520444961e-08
27.05,5.3237037548857475e-08
27.1,8.8728395914762458e-08
27.150000000000002,5.3237037548857475e-08
27.200000000000003,7.8869685257566639e-08
27.25,7.2954458863249141e-08
27.3,8.8728395914762458e-08
27.35,4.1406584760222481e-08
27.400000000000002,5.1265295417418314e-08
27.450000000000003,8.4784911651884136e-08
27.5,6.506749033749247e-08
27.55,8.08414273890058e-08
27.6,3.5491358365904983e-08
27.650000000000002,6.7039232468931644e-08
27.700000000000003,6.506749033749247e-08
27.75,8.08414273890058e-08
27.8,4.9293553285979146e-08
27.85,7.6897943126127464e-08
27.900000000000002,5.7180521811735811e-08
27.950000000000003,3.5491358365904983e-08
28.0,6.90109746003708e-08
28.05,5.9152263943174972e-08
28.1,8.8728395914762458e-08
28.150000000000002,6.506749033749247e-08
28.200000000000003,7.6897943126127464e-08
28.25,6.7039232468931644e-08
28.3,2.7604389840148322e-08
28.35,6.1124006074614147e-08
28.400000000000002,5.7180521811735811e-08
28.450000000000003,8.08414273890058e-08
28.5,6.1124006074614147e-08
28.55,7.2954458863249141e-08
28.6,7.8869685257566639e-08
28.650000000000002,5.1265295417418314e-08
28.700000000000003,4.5350069023100816e-08
28.75,5.3237037548857475e-08
28.8,4.3378326891661649e-08
28.85,7.0982716731809967e-08
28.900000000000002,8.67566537833233e-08
28.950000000000003,7.8869685257566639e-08
29.0,4.3378326891661649e-08
29.05,4.1406584760222481e-08
29.1,2.9576131971587486e-08
29.150000000000002,5.1265295417418314e-08
29.200000000000003,5.7180521811735811e-08
29.25,6.7039232468931644e-08
29.3,6.506749033749247e-08
29.35,5.3237037548857475e-08
29.400000000000002,6.506749033749247e-08
29.450000000000003,3.3519616234465822e-08
29.5,7.0982716731809967e-08
29.55,7.6897943126127464e-08
29.6,5.9152263943174972e-08
29.650000000000002,5.1265295417418314e-08
29.700000000000003,5.1265295417418314e-08
29.75,6.506749033749247e-08
29.8,1.0055884870339745e-07
29.85,3.7463100497344151e-08
29.900000000000002,7.2954458863249141e-08
29.950000000000003,5.1265295417418314e-08
30.0,3.5491358365904983e-08
30.05,7.2954458863249141e-08
30.1,3.5491358365904983e-08
30.150000000000002,4.9293553285979146e-08
30.200000000000003,2.7604389840148322e-08
30.25,6.90109746003708e-08
30.3,4.5350069023100816e-08
30.35,4.1406584760222481e-08
30.400000000000002,7.8869685257566639e-08
30.450000000000003,7.0982716731809967e-08
30.5,4.7321811154539978e-08
30.55,5.3237037548857475e-08
30.6,5.1265295417418314e-08
30.650000000000002,4.9293553285979146e-08
30.700000000000003,4.7321811154539978e-08
30.75,3.3519616234465822e-08
30.8,4.5350069023100816e-08
30.85,4.3378326891661649e-08
30.900000000000002,4.5350069023100816e-08
30.950000000000003,7.49262009946883e-08
31.0,2.7604389840148322e-08
31.05,4.5350069023100816e-08
31.1,5.5208779680296643e-08
31.150000000000002,4.7321811154539978e-08
31.200000000000003,4.7321811154539978e-08
31.25,5.1265295417418314e-08
31.3,4.7321811154539978e-08
31.35,3.9434842628783319e-08
31.400000000000002,4.7321811154539978e-08
31.450000000000003,4.1406584760222481e-08
31.5,3.3519616234465822e-08
31.55,2.9576131971587486e-08
31.6,3.7463100497344151e-08
31.650000000000002,3.9434842628783319e-08
31.700000000000003,4.3378326891661649e-08
31.75,3.5491358365904983e-08
31.8,4.5350069023100816e-08
31.85,4.9293553285979146e-08
31.900000000000002,3.7463100497344151e-08
31.950000000000003,3.5491358365904983e-08
32.0,3.5491358365904983e-08
32.050000000000004,2.5632647708709157e-08
32.1,6.7039232468931644e-08
32.15,4.3378326891661649e-08
32.2,2.1689163445830824e-08
32.25,5.3237037548857475e-08
32.300000000000004,2.7604389840148322e-08
32.35,4.5350069023100816e-08
32.4,3.9434842628783319e-08
32.45,5.9152263943174972e-08
32.5,5.7180521811735811e-08
32.550000000000004,5.1265295417418314e-08
32.6,5.7180521811735811e-08
32.65,3.3519616234465822e-08
32.7,9.85871065719583e-09
32.75,5.1265295417418314e-08
32.800000000000004,5.5208779680296643e-08
32.85,3.7463100497344151e-08
32.9,3.1547874103026654e-08
32.95,3.7463100497344151e-08
33.0,3.3519616234465822e-08
33.050000000000004,1.971742131439166e-08
33.1,2.9576131971587486e-08
33.15,1.971742131439166e-08
33.2,5.3237037548857475e-08
33.25,4.1406584760222481e-08
33.300000000000004,2.9576131971587486e-08
33.35,5.1265295417418314e-08
33.4,5.5208779680296643e-08
33.45,3.7463100497344151e-08
33.5,2.9576131971587486e-08
33.550000000000004,2.1689163445830824e-08
33.6,1.971742131439166e-08
33.65,1.971742131439166e-08
33.7,3.7463100497344151e-08
33.75,3.5491358365904983e-08
33.800000000000004,6.90109746003708e-08
33.85,2.9576131971587486e-08
33.9,4.5350069023100816e-08
33.95,3.9434842628783319e-08
34.0,3.1547874103026654e-08
34.050000000000004,4.7321811154539978e-08
34.1,4.5350069023100816e-08
34.15,3.3519616234465822e-08
34.2,4.5350069023100816e-08
34.25,2.3660905577269989e-08
34.300000000000004,3.7463100497344151e-08
34.35,2.9576131971587486e-08
34.4,1.5773937051513327e-08
34.45,7.8869685257566635e-09
34.5,4.9293553285979146e-08
34.550000000000004,3.7463100497344151e-08
34.6,3.7463100497344151e-08
34.65,1.3802194920074161e-08
34.7,2.1689163445830824e-08
34.75,3.7463100497344151e-08
34.800000000000004,2.3660905577269989e-08
34.85,3.1547874103026654e-08
34.9,2.3660905577269989e-08
34.95,1.971742131439166e-08
35.0,4.3378326891661649e-08
35.050000000000004,3.7463100497344151e-08
35.1,2.3660905577269989e-08
35.15,2.5632647708709157e-08
35.2,4.1406584760222481e-08
35.25,3.7463100497344151e-08
35.300000000000004,2.5632647708709157e-08
35.35,1.7745679182952492e-08
35.4,2.9576131971587486e-08
35.45,1.971742131439166e-08
35.5,3.7463100497344151e-08
35.550000000000004,2.9576131971587486e-08
35.6,2.3660905577269989e-08
35.65,2.7604389840148322e-08
35.7,3.1547874103026654e-08
35.75,2.1689163445830824e-08
35.800000000000004,2.5632647708709157e-08
35.85,4.1406584760222481e-08
35.9,2.9576131971587486e-08
35.95,2.9576131971587486e-08
36.0,1.5773937051513327e-08
36.050000000000004,1.7745679182952492e-08
36.1,4.1406584760222481e-08
36.15,2.9576131971587486e-08
36.2,2.3660905577269989e-08
36.25,3.5491358365904983e-08
36.300000000000004,1.3802194920074161e-08
36.35,4.3378326891661649e-08
36.4,2.7604389840148322e-08
36.45,2.1689163445830824e-08
36.5,1.971742131439166e-08
36.550000000000004,1.971742131439166e-08
36.6,2.1689163445830824e-08
36.65,2.5632647708709157e-08
36.7,2.7604389840148322e-08
36.75,2.7604389840148322e-08
36.800000000000004,2.9576131971587486e-08
