ratio_bin_start,normalized_frequency,bid2order
,0.039381414332247712,0.20717524137577797
0.0,0.0005332103376365679,0.15188628312366415
0.05,0.0001894114643724406,0.21219408096769829
0.1,0.00023024821565667715,0.255407881891517
0.15000000000000002,0.00038589951125461632,0.30370692077766137
0.2,0.00072410258034971925,0.35219747304215226
0.25,0.0013907249340837239,0.39161780051266926
0.30000000000000004,0.0025553028761441643,0.42328170116099084
0.35000000000000003,0.0045729649100824171,0.44654200860536442
0.4,0.0078283466604468447,0.46023027658831178
0.45,0.012668618679546339,0.46848860770644579
0.5,0.019541908660303732,0.47257074119567921
0.55,0.028520023507661779,0.47429132452152456
0.60000000000000009,0.039735799489015532,0.47152627931781627
0.65,0.053046884709443617,0.46472494849287793
0.70000000000000007,0.067235091530073884,0.45508893091838482
0.75,0.0808536502184786,0.44319191837312205
0.8,0.0914838424477005,0.42916719076135795
0.85000000000000009,0.096186283776585987,0.4151490953138105
0.9,0.092570144198884929,0.40265158753110303
0.95000000000000007,0.0783901240515844,0.39135789734295151
1.0,0.065669875304326317,0.39277436054197518
1.05,0.05408377854629845,0.39184787526452419
1.1,0.041886814386787277,0.3931503746359602
1.1500000000000001,0.031101345492972415,0.39548164723496365
1.2000000000000002,0.022612191146337179,0.39490507953870063
1.25,0.016092738178035068,0.39397024021387739
1.3,0.011339891233301456,0.39256892991450137
1.35,0.0085384557868897412,0.39007373894216069
1.4000000000000001,0.006373745168273018,0.38826775806678637
1.4500000000000002,0.0046963447022150915,0.38614675721348124
1.5,0.0035411798570901417,0.38207481771638091
1.55,0.0026910533784094879,0.37595049860420132
1.6,0.0020916122225778785,0.36969666118021027
1.6500000000000001,0.0016646748423416189,0.36254687503701438
1.7000000000000002,0.0013337691908749721,0.35564763867412136
1.75,0.0010738837192406331,0.3469613706009691
1.8,0.00087729708525188528,0.34144313214289729
1.85,0.00072262180200900847,0.33444932862923582
1.9000000000000001,0.00059375662326667034,0.32793151198971882
1.9500000000000002,0.00049331805083329067,0.32350895704932969
2.0,0.00042424595222684524,0.32011079971928258
2.0500000000000003,0.00036865662631518085,0.31424827512435149
2.1,0.00031480440522131437,0.31238021270465621
2.15,0.00027566729565437831,0.30219084608287022
2.2,0.00024021931561536502,0.29856112155362757
2.25,0.00021267604978129131,0.2937364410079546
2.3000000000000003,0.00018777294666121465,0.29196068548387094
2.35,0.00016263717796962817,0.28076960380194949
2.4000000000000004,0.00014275807380045849,0.27984033590232316
2.45,0.00012392990818734588,0.28299365185432679
2.5,0.00011022235688958081,0.28105042843598504
2.5500000000000003,9.8697524131318879e-05,0.27750918970752758
2.6,9.1705726533235609e-05,0.28034831219092671
2.6500000000000004,8.3229207110178629e-05,0.27755798251640568
2.7,7.55709606716689e-05,0.26759203694523442
2.75,6.8445084608647765e-05,0.25673378849422407
2.8000000000000003,6.17313026510974e-05,0.2558770921170308
2.85,5.692025185038584e-05,0.24941111265068588
2.9000000000000004,5.1669502554363341e-05,0.24850219423774089
2.95,4.9403970845339736e-05,0.23603128991060027
3.0,4.5223877526688708e-05,0.23587373561213812
3.0500000000000003,4.3129887383100316e-05,0.24407972935905642
3.1,4.0174245928073e-05,0.24804907975460122
3.1500000000000004,3.8726987203596656e-05,0.24372486125961
3.2,3.4893920500078917e-05,0.24908176527094988
3.25,3.4410843677876324e-05,0.2367636947054779
3.3000000000000003,3.2517971231694726e-05,0.25
3.35,3.0672420596667663e-05,0.24595011571097969
3.4000000000000004,2.9461770927964016e-05,0.24501405434346138
3.45,2.7436791758975992e-05,0.24649658641753502
3.5,2.6214311637483709e-05,0.2515231289958631
3.5500000000000003,2.5157457855032316e-05,0.26522454737832118
3.6,2.3209376629170421e-05,0.24297001104409141
3.6500000000000004,2.2501521203983761e-05,0.24553101997896951
3.7,2.1245521466257013e-05,0.24612529002320185
3.75,1.8940554914604628e-05,0.20705808869456591
3.8000000000000003,1.8875487424267135e-05,0.23628956439987464
3.85,1.7769340088529762e-05,0.22103861517976031
3.9000000000000004,1.6408838017836737e-05,0.21965873588079787
3.95,1.5436769147037228e-05,0.20564567633158767
4.0,1.5519582316557673e-05,0.20531063397281157
4.05,1.47506028852964e-05,0.21200374281513168
4.1000000000000005,1.4054577912898375e-05,0.21141975308641975
4.15,1.4052606170766934e-05,0.20541602357233057
4.2,1.3599105480535927e-05,0.21603595766275191
4.25,1.2703934552862545e-05,0.21108179419525067
4.3,1.2305642642311834e-05,0.20813972119852589
4.3500000000000005,1.1808763625189164e-05,0.20103523125730505
4.4,1.1656939481068349e-05,0.19942489851150202
4.45,1.0949084055881689e-05,0.19430938231586531
4.5,1.0367420127107134e-05,0.19513122860403195
4.55,1.0623746604194226e-05,0.19357832219747587
4.6000000000000005,1.0191935077409049e-05,0.19868446508028631
4.65,9.9119476947446863e-06,0.18221603341953452
4.7,9.4978818471424625e-06,0.18019514220469171
4.75,9.3401424766273288e-06,0.18978256280346212
4.8000000000000007,8.902415723447834e-06,0.16921373200442968
4.8500000000000005,8.4568020017425828e-06,0.17276754488225693
4.9,8.0723122861119444e-06,0.15583781143136297
4.95,8.3345539895933538e-06,0.16465578424414479
5.0,8.2182212038384426e-06,0.1797024952015355
5.0500000000000007,7.7430313501616044e-06,0.16883116883116883
5.1000000000000005,7.5123375207832215e-06,0.16246719160104986
5.15,7.5064222943889046e-06,0.1633832413974258
5.2,7.6740203755612335e-06,0.17394655704008222
5.25,7.18502832696432e-06,0.15889132821075741
5.3000000000000007,7.4236091248684595e-06,0.1543160690571049
5.3500000000000005,6.8537756488825407e-06,0.179228998849252
5.4,6.9878541138204034e-06,0.15829571106094809
5.45,6.9779954031632083e-06,0.15484600169539417
5.5,6.4377380591488765e-06,0.15987748851454825
5.5500000000000007,6.5678730398238611e-06,0.16961873311317924
5.6000000000000005,6.3214052733939653e-06,0.14004990642545229
5.65,6.09859841254134e-06,0.14969285483349498
5.7,6.2661964937136694e-06,0.14946507237256135
5.75,6.1242310602500494e-06,0.14359304571796522
5.8000000000000007,5.3414494340687e-06,0.14101144333702473
5.8500000000000005,5.9369155577633286e-06,0.13450680836931253
5.9,5.4577822198236113e-06,0.13981213872832371
5.95,5.6411542380474539e-06,0.14016078294302692
6.0,5.6727021121504804e-06,0.14946124435175531
6.0500000000000007,5.3493364025944573e-06,0.16107629929966827
6.1000000000000005,5.53073667868686e-06,0.1408199643493761
6.15,5.3138450442285517e-06,0.1443413729128015
6.2,5.2053992269993978e-06,0.13825757575757575
6.25,4.7735877002142208e-06,0.13630731102850063
6.3000000000000007,4.807107316448686e-06,0.1431501230516817
6.3500000000000005,4.8741465489176182e-06,0.11771844660194175
6.4,4.9431575235179892e-06,0.14399680893498204
6.45,4.8780900331804965e-06,0.1576394502829426
6.5,4.8051355743172473e-06,0.12638489946655723
6.5500000000000007,4.87020306465474e-06,0.14979757085020243
6.6000000000000005,4.8307682220259562e-06,0.12693877551020408
6.65,4.8504856433403481e-06,0.14674796747967481
6.7,4.7795029266085377e-06,0.13325082508250824
6.75,4.5783852292017435e-06,0.12790697674418605
6.8000000000000007,4.5823287134646217e-06,0.11876075731497418
6.8500000000000005,4.2983978465373817e-06,0.12981651376146788
6.9,4.4088154058979751e-06,0.12209302325581395
6.95,4.0460148537131682e-06,0.13791423001949318
7.0,4.3693805632691913e-06,0.1263537906137184
7.0500000000000007,4.2471325511199631e-06,0.149025069637883
7.1000000000000005,4.0361561430559722e-06,0.11577918905715681
7.15,4.2569912617771591e-06,0.12274201018990273
7.2,3.821236250729103e-06,0.12796697626418987
7.25,3.8527841248321305e-06,0.11361310133060389
7.3000000000000007,3.7601122446544894e-06,0.12008390141583639
7.3500000000000005,3.7384230812086584e-06,0.10126582278481013
7.4,3.5708250000363295e-06,0.11595803423522916
7.45,3.6378642325052609e-06,0.11436314363143632
7.5,3.4268878244412703e-06,0.085155350978135785
7.5500000000000007,3.3144985229492378e-06,0.11838191552647234
7.6000000000000005,3.3499898813151426e-06,0.12183637433784579
7.65,3.4387182772299054e-06,0.14105504587155962
7.7,3.4564639564128578e-06,0.12264689104392471
7.75,3.1646461209598613e-06,0.1015576323987539
7.8000000000000007,3.208024447851523e-06,0.11493546404425323
7.8500000000000005,3.2178831585087185e-06,0.1053921568627451
7.9,3.247459290480306e-06,0.11536126290224651
7.95,3.0857764357022944e-06,0.11246006389776358
8.0,3.0818329514394162e-06,0.11836212412028151
8.05,2.9457827443701139e-06,0.09170013386880857
8.1,3.0916916620966122e-06,0.10905612244897959
8.15,2.9162066123985264e-06,0.12035158891142664
8.2000000000000011,2.9733871342102623e-06,0.11405835543766578
8.25,3.006906750444728e-06,0.12262295081967213
8.3,2.9871893291303365e-06,0.12475247524752475
8.35,2.9280370651871611e-06,0.12053872053872054
8.4,2.9536697128958703e-06,0.12550066755674233
8.4500000000000011,3.0009915240504102e-06,0.14914586070959265
8.5,2.8412804114038378e-06,0.12283136710617627
8.55,2.9457827443701139e-06,0.13119143239625167
8.6,2.5317168967678889e-06,0.1277258566978193
8.65,2.7150889149917315e-06,0.15904139433551198
8.7000000000000011,2.6776258144943871e-06,0.17525773195876287
8.75,2.3838362369099515e-06,0.11000827129859388
8.8,2.283277388206554e-06,0.15112262521588946
8.85,2.3345426836239725e-06,0.10050675675675676
8.9,2.2773621618122367e-06,0.11774891774891776
8.9500000000000011,2.2556729983664056e-06,0.1381118881118881
9.0,2.3187687465724592e-06,0.18112244897959184
9.05,2.2753904196807976e-06,0.16117850953206239
9.1,2.2398990613148924e-06,0.12323943661971831
9.15,2.0545553009596107e-06,0.080614203454894437
9.2000000000000011,2.0269509111194623e-06,0.1254863813229572
9.25,1.8337201822384242e-06,0.08924731182795699
9.3,1.8080875345297151e-06,0.071973827699018542
9.35,1.699641717300561e-06,0.062645011600928072
9.4,1.664150358934656e-06,0.059241706161137442
9.4500000000000011,1.5596480259683803e-06,0.061946902654867256
9.5,1.6326024848316294e-06,0.057971014492753624
9.55,1.5004957620252051e-06,0.059132720105124839
9.6000000000000014,1.463032661527861e-06,0.051212938005390833
9.65,1.3881064605331728e-06,0.052556818181818184
9.7000000000000011,1.5517610574426236e-06,0.068614993646759853
9.75,1.2165648950979652e-06,0.064829821717990274
9.8,1.1810735367320604e-06,0.055091819699499167
9.8500000000000014,1.1436104362347161e-06,0.0603448275862069
9.9,1.1475539204975945e-06,0.063573883161512024
9.9500000000000011,1.1712148260748645e-06,0.082491582491582491
10.0,1.1968474737835737e-06,0.046128500823723231
10.05,1.1475539204975945e-06,0.049828178694158079
10.100000000000001,1.116006046394568e-06,0.044169611307420496
10.15,9.5629493374799552e-07,0.039175257731958762
10.200000000000001,9.365775124336038e-07,0.04
10.25,1.0036167449025354e-06,0.039292730844793712
10.3,1.1948757316521344e-06,0.041254125412541254
10.350000000000001,9.1686009111921208e-07,0.055913978494623658
10.4,9.6812538653663038e-07,0.050916496945010187
10.450000000000001,8.9911441193625958e-07,0.05701754385964912
10.5,8.0447078962717962e-07,0.041666666666666664
10.55,8.9714266980482047e-07,0.02197802197802198
10.600000000000001,8.4784911651884128e-07,0.051162790697674418
10.65,8.9122744341050293e-07,0.048672566371681415
10.700000000000001,8.8728395914762461e-07,0.057777777777777775
10.75,8.0249904749574051e-07,0.066339066339066333
10.8,7.8672511044422722e-07,0.050125313283208017
10.850000000000001,8.9911441193625958e-07,0.043859649122807015
10.9,8.9122744341050293e-07,0.046460176991150445
10.950000000000001,7.7686639978703136e-07,0.0532994923857868
11.0,7.7489465765559215e-07,0.038167938931297711
11.05,7.4334678355256557e-07,0.0636604774535809
11.100000000000001,8.7151002209611132e-07,0.04072398190045249
11.15,8.1432950028437548e-07,0.041162227602905568
11.200000000000001,9.3460577030216459e-07,0.0759493670886076
11.25,7.5517723634120054e-07,0.041775456919060053
11.3,7.315163307639305e-07,0.040431266846361183
11.350000000000001,6.54618387637803e-07,0.051204819277108432
11.4,8.8728395914762461e-07,0.028888888888888888
11.450000000000001,6.9996845666090391e-07,0.050704225352112678
11.5,7.2362936223817385e-07,0.057220708446866483
11.55,7.7489465765559215e-07,0.030534351145038167
11.600000000000001,6.4870316124348561e-07,0.0547112462006079
11.65,6.3687270845485054e-07,0.034055727554179564
11.700000000000001,7.4531852568400468e-07,0.047619047619047616
11.75,6.9996845666090391e-07,0.050704225352112678
11.8,5.8955089730031056e-07,0.046822742474916385
11.850000000000001,6.3292922419197222e-07,0.040498442367601244
11.9,6.8222277747795141e-07,0.031791907514450865
11.950000000000001,6.0926831861470228e-07,0.061488673139158574
12.0,5.8166392877455392e-07,0.040677966101694912
12.05,5.5997476532872309e-07,0.03873239436619718
12.100000000000001,6.8222277747795141e-07,0.034682080924855488
12.15,5.9152263943174978e-07,0.046666666666666669
12.200000000000001,5.2053992269993976e-07,0.01893939393939394
12.25,6.0729657648326307e-07,0.025974025974025976
12.3,4.51528948099569e-07,0.034934497816593885
12.350000000000001,5.7377696024879727e-07,0.024054982817869417
12.4,5.8560741303743224e-07,0.016835016835016835
12.450000000000001,5.4222908614577058e-07,0.029090909090909091
12.5,5.2053992269993976e-07,0.034090909090909088
12.55,5.3434211762001394e-07,0.01107011070110701
12.600000000000001,4.9490727499123061e-07,0.015936254980079681
12.65,5.0673772777986557e-07,0.038910505836575876
12.700000000000001,5.1659643843706143e-07,0.022900763358778626
12.75,4.8899204859691317e-07,0.032258064516129031
12.8,5.3039863335713562e-07,0.033457249070631967
12.850000000000001,4.2983978465373818e-07,0.032110091743119268
12.9,4.3772675317949482e-07,0.036036036036036036
12.950000000000001,5.1265295417418311e-07,0.023076923076923078
13.0,5.3039863335713562e-07,0.026022304832713755
13.05,4.6138765875676481e-07,0.02564102564102564
13.100000000000001,4.2392455825942064e-07,0.03255813953488372
13.15,4.1998107399654232e-07,0.042253521126760563
13.200000000000001,4.5350069023100816e-07,0.013043478260869565
13.25,4.4758546383669063e-07,0.035242290748898682
13.3,4.8307682220259564e-07,0.024489795918367346
13.350000000000001,3.4308313087041487e-07,0.011494252873563218
13.4,3.5294184152761067e-07,0.0335195530726257
13.450000000000001,4.3181152678517734e-07,0.0365296803652968
13.5,4.1406584760222483e-07,0.028571428571428571
13.55,3.9040494202495484e-07,0.035353535353535352
13.600000000000001,3.92376684156394e-07,0.045226130653266333
13.65,3.7068752071056318e-07,0.021276595744680851
13.700000000000001,3.7660274710488066e-07,0.020942408376963352
13.75,4.5350069023100816e-07,0.047826086956521741
13.8,3.746310049734415e-07,0.031578947368421054
13.850000000000001,3.5885706792192821e-07,0.038461538461538464
13.9,3.2139396742458404e-07,0.030674846625766871
13.950000000000001,4.1012236333934651e-07,0.038461538461538464
14.0,3.9632016841927233e-07,0.039800995024875621
14.05,3.3519616234465822e-07,0.041176470588235294
14.100000000000001,4.1998107399654232e-07,0.042253521126760563
14.15,3.8448971563063736e-07,0.041025641025641026
14.200000000000001,3.2533745168746236e-07,0.030303030303030304
14.25,3.746310049734415e-07,0.036842105263157891
14.3,3.6082881005336737e-07,0.016393442622950821
14.350000000000001,4.0617887907646819e-07,0.029126213592233011
14.4,3.2730919381890152e-07,0.042168674698795178
14.450000000000001,4.337832689166165e-07,0.018181818181818181
14.5,3.92376684156394e-07,0.01507537688442211
14.55,3.4308313087041487e-07,0.040229885057471264
14.600000000000001,3.3913964660753654e-07,0.05232558139534884
14.65,3.3519616234465822e-07,0.017647058823529412
14.700000000000001,3.5491358365904983e-07,0.011111111111111112
14.75,3.2533745168746236e-07,0.030303030303030304
14.8,3.2533745168746236e-07,0.012121212121212121
14.850000000000001,3.411113887389757e-07,0.034682080924855488
14.9,4.0815062120790735e-07,0.01932367149758454
14.950000000000001,3.825179734991982e-07,0.030927835051546393
15.0,3.0167654611019237e-07,0.0392156862745098
15.05,3.1350699889882739e-07,0.018867924528301886
15.100000000000001,2.8393086692723987e-07,0.034722222222222224
15.15,2.9181783545299657e-07,0.020270270270270271
15.200000000000001,2.3660905577269989e-07,0.033333333333333333
15.25,2.6224170348140904e-07,0.0
15.3,2.8195912479580071e-07,0.027972027972027972
15.350000000000001,2.8393086692723987e-07,0.041666666666666664
15.4,2.7801564053292238e-07,0.028368794326241134
15.450000000000001,2.5238299282421323e-07,0.0234375
15.5,3.0759177250450986e-07,0.0
15.55,3.1350699889882739e-07,0.0062893081761006293
15.600000000000001,2.9970480397875321e-07,0.019736842105263157
15.65,2.8590260905867903e-07,0.034482758620689655
15.700000000000001,2.5829821921853072e-07,0.015267175572519083
15.75,2.8787435119011819e-07,0.0410958904109589
15.8,2.3266557150982157e-07,0.033898305084745763
15.850000000000001,2.5435473495565239e-07,0.0
15.9,2.3463731364126073e-07,0.033613445378151259
15.950000000000001,2.3858079790413905e-07,0.024793388429752067
16.0,2.3463731364126073e-07,0.025210084033613446
16.05,2.6026996134996988e-07,0.007575757575757576
16.1,2.6026996134996988e-07,0.0
16.150000000000002,2.2872208724694324e-07,0.025862068965517241
16.2,2.5632647708709156e-07,0.038461538461538464
16.25,2.7604389840148322e-07,0.0071428571428571426
16.3,1.912589867495991e-07,0.010309278350515464
16.35,2.0703292380111242e-07,0.028571428571428571
16.400000000000002,2.4843950856133491e-07,0.055555555555555552
16.45,2.8590260905867903e-07,0.013793103448275862
16.5,2.9970480397875321e-07,0.026315789473684209
16.55,2.6618518774428741e-07,0.0
16.6,2.642134456128482e-07,0.022388059701492536
16.650000000000002,2.1491989232686909e-07,0.01834862385321101
16.7,2.3660905577269989e-07,0.033333333333333333
16.75,2.0111769740679491e-07,0.0
16.8,2.0900466593255158e-07,0.0
16.85,2.2872208724694324e-07,0.025862068965517241
16.900000000000002,2.5238299282421323e-07,0.0078125
16.95,2.4646776642989575e-07,0.008
17.0,1.794285339609641e-07,0.02197802197802198
17.05,2.0111769740679491e-07,0.058823529411764705
17.1,2.7604389840148322e-07,0.014285714285714285
17.150000000000002,1.9520247101247742e-07,0.020202020202020204
17.2,2.6224170348140904e-07,0.015037593984962405
17.25,2.3660905577269989e-07,0.033333333333333333
17.3,2.1689163445830825e-07,0.036363636363636362
17.35,2.2280686085262573e-07,0.017699115044247787
17.400000000000002,2.1491989232686909e-07,0.01834862385321101
17.45,2.129481501954299e-07,0.018518518518518517
17.5,2.5435473495565239e-07,0.031007751937984496
17.55,2.2280686085262573e-07,0.035398230088495575
17.6,1.8534376035528159e-07,0.010638297872340425
17.650000000000002,2.2872208724694324e-07,0.017241379310344827
17.7,1.794285339609641e-07,0.032967032967032968
17.75,1.4196543346361993e-07,0.027777777777777776
17.8,1.7154156543520743e-07,0.011494252873563218
17.85,1.9323072888103826e-07,0.071428571428571425
17.900000000000002,1.8928724461815991e-07,0.020833333333333332
17.95,2.4646776642989575e-07,0.016
18.0,2.721004141386049e-07,0.014492753623188406
18.05,1.9323072888103826e-07,0.051020408163265307
18.1,1.5971111264657244e-07,0.012345679012345678
18.150000000000002,1.9914595527535574e-07,0.019801980198019802
18.2,1.7745679182952492e-07,0.011111111111111112
18.25,2.4449602429845659e-07,0.0080645161290322578
18.3,2.0703292380111242e-07,0.019047619047619049
18.35,1.7745679182952492e-07,0.011111111111111112
18.400000000000002,1.5576762838369409e-07,0.025316455696202531
18.45,1.616828547780116e-07,0.024390243902439025
18.5,1.9520247101247742e-07,0.030303030303030304
18.55,1.9520247101247742e-07,0.0
18.6,1.8534376035528159e-07,0.010638297872340425
18.650000000000002,1.3802194920074161e-07,0.014285714285714285
18.7,1.4985240198937661e-07,0.026315789473684209
18.75,1.4590891772649828e-07,0.013513513513513514
18.8,1.8337201822384243e-07,0.010752688172043012
18.85,1.4196543346361993e-07,0.0
18.900000000000002,1.7745679182952492e-07,0.044444444444444446
18.95,1.4788065985793744e-07,0.013333333333333334
19.0,1.9717421314391658e-07,0.02
19.05,1.5182414412081577e-07,0.025974025974025976
19.1,1.3802194920074161e-07,0.014285714285714285
19.150000000000002,1.5576762838369409e-07,0.025316455696202531
19.200000000000003,1.6759808117232911e-07,0.035294117647058823
19.25,1.4590891772649828e-07,0.0
19.3,1.6562633904088992e-07,0.023809523809523808
19.35,1.6562633904088992e-07,0.035714285714285712
19.400000000000002,1.6365459690945076e-07,0.048192771084337352
19.450000000000003,1.3999369133218077e-07,0.056338028169014086
19.5,2.0703292380111242e-07,0.028571428571428571
19.55,1.8140027609240327e-07,0.032608695652173912
19.6,1.321067228064241e-07,0.0
19.650000000000002,1.4196543346361993e-07,0.027777777777777776
19.700000000000003,1.6956982330376827e-07,0.023255813953488372
19.75,1.2224801214922829e-07,0.0
19.8,1.4590891772649828e-07,0.013513513513513514
19.85,1.7154156543520743e-07,0.011494252873563218
19.900000000000002,1.4985240198937661e-07,0.013157894736842105
19.950000000000003,2.0308943953823409e-07,0.029126213592233011
20.0,1.616828547780116e-07,0.036585365853658534
20.05,1.6956982330376827e-07,0.011627906976744186
20.1,1.8337201822384243e-07,0.010752688172043012
20.150000000000002,1.7745679182952492e-07,0.022222222222222223
20.200000000000003,1.9520247101247742e-07,0.030303030303030304
20.25,1.5971111264657244e-07,0.024691358024691357
20.3,1.1436104362347162e-07,0.034482758620689655
20.35,1.1041755936059329e-07,0.053571428571428568
20.400000000000002,1.4393717559505909e-07,0.0273972602739726
20.450000000000003,1.1238930149203245e-07,0.035087719298245612
20.5,2.0111769740679491e-07,0.068627450980392163
20.55,1.1041755936059329e-07,0.035714285714285712
20.6,1.6562633904088992e-07,0.035714285714285712
20.650000000000002,2.1491989232686909e-07,0.027522935779816515
20.700000000000003,1.2027627001778911e-07,0.032786885245901641
20.75,1.2816323854354578e-07,0.015384615384615385
20.8,1.4590891772649828e-07,0.013513513513513514
20.85,1.3605020706930245e-07,0.043478260869565216
20.900000000000002,1.616828547780116e-07,0.0
20.950000000000003,1.2619149641210662e-07,0.015625
21.0,1.321067228064241e-07,0.044776119402985072
21.05,1.2421975428066746e-07,0.063492063492063489
21.1,1.3802194920074161e-07,0.028571428571428571
21.150000000000002,1.6365459690945076e-07,0.060240963855421686
21.200000000000003,1.1238930149203245e-07,0.035087719298245612
21.25,1.0844581722915412e-07,0.0
21.3,1.5379588625225493e-07,0.038461538461538464
21.35,1.0844581722915412e-07,0.018181818181818181
21.400000000000002,1.321067228064241e-07,0.0
21.450000000000003,1.5182414412081577e-07,0.03896103896103896
21.5,1.321067228064241e-07,0.029850746268656716
21.55,9.26718801776408e-08,0.0851063829787234
21.6,1.5576762838369409e-07,0.050632911392405063
21.650000000000002,1.5971111264657244e-07,0.086419753086419748
21.700000000000003,1.4393717559505909e-07,0.0136986301369863
21.75,8.67566537833233e-08,0.045454545454545456
21.8,1.1238930149203245e-07,0.070175438596491224
21.85,9.0700138046201633e-08,0.086956521739130432
21.900000000000002,1.0450233296627579e-07,0.037735849056603772
